,0.643710407,,,,,,1795913441,,,,8323,33677.31222,,98056.71734
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 0:32,3.015,0.503,95.729,0.754,0,0,1804443648,91787264,3340816384,3152875520,29658,661848,0,253952
2019/10/17 0:33,0.501,0.251,99.248,0,0,0,1804296192,91787264,3340820480,3153018880,6822,12431,0,0
2019/10/17 0:33,0.251,0,99.749,0,0,0,1804296192,91787264,3340820480,3153018880,1490,962,0,0
2019/10/17 0:33,0.5,0.5,99,0,0,0,1804296192,91787264,3340820480,3153018880,5821,4524,0,0
2019/10/17 0:33,0.503,0.251,99.246,0,0,0,1804312576,91787264,3340820480,3153002496,9334,4827,0,65536
2019/10/17 0:33,0.752,0,99.248,0,0,0,1804316672,91787264,3340832768,3152986112,4237,3449,0,0
2019/10/17 0:33,0.251,0.251,98.997,0.501,0,0,1804173312,91787264,3340832768,3153129472,6283,7604,0,90112
2019/10/17 0:33,0.5,0.25,99.25,0,0,0,1804173312,91787264,3340832768,3153129472,4390,1935,0,0
2019/10/17 0:33,0.251,0,99.749,0,0,0,1804173312,91787264,3340832768,3153129472,2569,1679,0,0
2019/10/17 0:33,0.251,0.251,99.497,0,0,0,1804173312,91787264,3340832768,3153129472,5060,8969,0,147456
2019/10/17 0:33,0.499,0.249,99.252,0,0,0,1804013568,91787264,3340832768,3153289216,4266,2001,0,0
2019/10/17 0:33,0.252,0,99.748,0,0,0,1803870208,91787264,3340832768,3153432576,2767,1877,0,32768
2019/10/17 0:33,0.251,0.251,99.499,0,0,0,1803870208,91787264,3340832768,3153432576,3155,1803,0,0
2019/10/17 0:33,0.251,0.251,99.499,0,0,0,1803870208,91787264,3340832768,3153432576,6095,3615,0,16384
2019/10/17 0:33,0.501,0.251,99.248,0,0,0,1803853824,91787264,3340832768,3153448960,2780,2013,0,49152
2019/10/17 0:33,0.251,0.251,99.497,0,0,0,1803829248,91787264,3340840960,3153465344,3721,2272,0,0
2019/10/17 0:33,0.5,0.25,99.25,0,0,0,1803829248,91787264,3340840960,3153465344,4930,2105,0,0
2019/10/17 0:33,0.251,0,99.246,0.503,0,0,1803829248,91787264,3340840960,3153465344,2569,1679,0,49152
2019/10/17 0:33,0.251,0.251,99.497,0,0,0,1803829248,91787264,3340840960,3153465344,4086,2438,0,8192
2019/10/17 0:33,0.251,0.251,99.499,0,0,0,1803939840,91787264,3340840960,3153354752,4200,1935,0,114688
2019/10/17 0:33,0.251,0.251,99.248,0,0,0.251,1803939840,91787264,3340840960,3153354752,2569,1695,0,0
2019/10/17 0:33,1.003,0.251,98.747,0,0,0,1803673600,91787264,3340853248,3153608704,26437,14551,0,229376
2019/10/17 0:33,2.015,0.504,97.229,0.252,0,0,1804234752,91787264,3340857344,3153043456,26510,558355,0,139264
2019/10/17 0:33,1.256,0.503,97.99,0.251,0,0,1804087296,91787264,3340877824,3153170432,11260,114753,0,131072
2019/10/17 0:33,0.501,0.251,99.248,0,0,0,1804103680,91787264,3340877824,3153154048,2034,2375,0,81920
