,0.658574661,,,,,,1798129469,,,,6497.144796,33793.62896,,95240.37535
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 2:31,0.5,0.5,99,0,0,0,1806757888,91795456,3353370624,3137998848,3979,2914,0,0
2019/10/17 2:31,0.251,0,99.749,0,0,0,1806757888,91795456,3353370624,3137998848,4738,8452,0,0
2019/10/17 2:31,0.501,0.251,99.248,0,0,0,1806757888,91795456,3353370624,3137998848,3178,1811,0,0
2019/10/17 2:31,0.5,0.5,99,0,0,0,1806868480,91795456,3353370624,3137888256,3311,1943,0,0
2019/10/17 2:31,0.25,0.25,99.25,0,0,0.25,1806835712,91795456,3353370624,3137921024,3657,1853,0,16384
2019/10/17 2:31,0.501,0.251,98.747,0.501,0,0,1807351808,91795456,3353370624,3137404928,4364,2806,0,73728
2019/10/17 2:31,0.251,0.251,99.499,0,0,0,1807220736,91795456,3353374720,3137531904,3904,2196,0,0
2019/10/17 2:31,0.5,0.5,99,0,0,0,1807220736,91795456,3353374720,3137531904,4845,2497,0,0
2019/10/17 2:31,1.003,0.251,98.747,0,0,0,1807167488,91795456,3353378816,3137581056,3262,1831,0,0
2019/10/17 2:31,0.251,0.251,99.497,0,0,0,1807167488,91795456,3353378816,3137581056,3113,1703,0,0
2019/10/17 2:31,0.501,0.251,98.747,0.501,0,0,1807167488,91795456,3353378816,3137581056,4629,2477,0,57344
2019/10/17 2:31,0.501,0.251,99.248,0,0,0,1807167488,91795456,3353378816,3137581056,3112,1813,0,0
2019/10/17 2:31,0.503,0.251,99.246,0,0,0,1807167488,91795456,3353378816,3137581056,3113,1746,0,0
2019/10/17 2:31,1.005,0.251,98.744,0,0,0,1807040512,91795456,3353378816,3137708032,27191,14775,0,229376
2019/10/17 2:31,0.251,0.251,99.497,0,0,0,1807028224,91795456,3353391104,3137708032,3717,1852,0,24576
2019/10/17 2:31,5.514,1.003,93.233,0.251,0,0,1807446016,91795456,3353395200,3137286144,29650,661868,0,172032
2019/10/17 2:31,0.501,0.251,98.997,0.251,0,0,1807450112,91795456,3353407488,3137269760,6279,11968,0,49152
2019/10/17 2:31,0.251,0.251,99.499,0,0,0,1807458304,91795456,3353415680,3137253376,2614,1415,0,0
2019/10/17 2:31,0.252,0.252,99.244,0,0,0.252,1807458304,91795456,3353415680,3137253376,5240,4165,0,0
2019/10/17 2:31,0.503,0.251,99.246,0,0,0,1807458304,91795456,3353415680,3137253376,8927,4836,0,221184
2019/10/17 2:31,0.752,0.251,98.997,0,0,0,1807470592,91795456,3353419776,3137236992,4822,3599,0,0
2019/10/17 2:31,1.005,0.251,98.492,0.251,0,0,1807478784,91795456,3353427968,3137220608,6151,7493,0,98304
2019/10/17 2:31,0.251,0.501,99.248,0,0,0,1807605760,91795456,3353427968,3137093632,3847,2043,0,0
2019/10/17 2:31,0.253,0,99.747,0,0,0,1807605760,91795456,3353427968,3137093632,3978,2871,0,0
2019/10/17 2:31,0.501,0.251,99.248,0,0,0,1807597568,91795456,3353427968,3137101824,4194,8387,0,73728
2019/10/17 2:31,0.252,0.252,99.496,0,0,0,1807855616,91795456,3353427968,3136843776,3723,1935,0,0
2019/10/17 2:31,0.251,0.251,99.497,0,0,0,1807695872,91795456,3353427968,3137003520,3310,1943,0,0
2019/10/17 2:31,0.752,0.251,98.496,0.501,0,0,1807806464,91795456,3353427968,3136892928,3113,1745,0,65536
2019/10/17 2:31,0.501,0.251,99.248,0,0,0,1807446016,91795456,3353440256,3137241088,5555,3013,0,16384
2019/10/17 2:31,1.003,0.251,98.747,0,0,0,1807446016,91795456,3353440256,3137241088,3902,2187,0,24576
2019/10/17 2:31,0.503,0.251,99.246,0,0,0,1807425536,91795456,3353444352,3137257472,3721,2272,0,0
2019/10/17 2:32,1.508,0.251,98.241,0,0,0,1807409152,91795456,3353444352,3137273856,7265,4217,0,81920
2019/10/17 2:32,0.501,0.251,99.248,0,0,0,1807462400,91795456,3353448448,3137216512,3112,1761,0,0
2019/10/17 2:32,0.501,0.251,98.747,0.501,0,0,1807462400,91795456,3353448448,3137216512,4084,2422,0,106496
2019/10/17 2:32,0.251,0.251,99.497,0,0,0,1807470592,91795456,3353448448,3137208320,3657,1869,0,114688
2019/10/17 2:32,0.5,0.25,99.25,0,0,0,1807536128,91795456,3353448448,3137142784,6088,3217,0,16384
2019/10/17 2:32,1.003,0.501,98.246,0.251,0,0,1807659008,91795456,3353452544,3137015808,23227,13417,0,212992
2019/10/17 2:32,2.261,0.251,97.487,0,0,0,1807966208,91795456,3353464832,3136696320,22029,555618,0,73728
2019/10/17 2:32,2.005,0.501,97.243,0,0,0.251,1807523840,91795456,3353477120,3137126400,14834,118122,0,106496
2019/10/17 2:32,0.501,0.251,98.747,0.501,0,0,1807654912,91795456,3353489408,3136983040,2034,935,0,49152
2019/10/17 2:32,0.252,0.252,99.496,0,0,0,1807654912,91795456,3353489408,3136983040,5916,4944,0,0
2019/10/17 2:32,1.003,0.501,98.496,0,0,0,1807654912,91795456,3353489408,3136983040,6781,3405,0,40960
2019/10/17 2:32,0.501,0.251,99.248,0,0,0,1807638528,91795456,3353489408,3136999424,3740,2051,0,0
2019/10/17 2:32,0.501,0.251,99.248,0,0,0,1807527936,91795456,3353489408,3137110016,8615,8347,0,0
2019/10/17 2:32,0.501,0.251,98.747,0.501,0,0,1807536128,91795456,3353497600,3137093632,3302,3196,0,57344
2019/10/17 2:32,0.251,0.251,99.499,0,0,0,1807536128,91795456,3353497600,3137093632,4323,4336,0,0
2019/10/17 2:32,0,0.251,99.749,0,0,0,1807536128,91795456,3353497600,3137093632,4570,7132,0,0
2019/10/17 2:32,0.501,0,99.499,0,0,0,1807536128,91795456,3353497600,3137093632,3178,1854,0,0
2019/10/17 2:32,0.251,0.251,99.499,0,0,0,1807241216,91795456,3353497600,3137388544,3353,1943,0,0
2019/10/17 2:32,0.251,0.251,99.499,0,0,0,1807224832,91795456,3353497600,3137404928,3925,1961,0,131072
2019/10/17 2:32,0.998,0.748,97.756,0.499,0,0,1808384000,91795456,3353501696,3136241664,5062,3247,0,98304
2019/10/17 2:32,0.251,0,99.749,0,0,0,1808420864,91795456,3353501696,3136204800,3799,2124,0,0
2019/10/17 2:32,0.5,0.5,99,0,0,0,1807400960,91795456,3353505792,3137220608,4199,1886,0,0
2019/10/17 2:32,0.251,0,99.749,0,0,0,1807220736,91795456,3353509888,3137396736,3328,2285,0,0
2019/10/17 2:32,0.5,0.25,99.25,0,0,0,1807077376,91795456,3353509888,3137540096,3113,1703,0,40960
2019/10/17 2:32,0.251,0.251,98.995,0.503,0,0,1807077376,91795456,3353509888,3137540096,4672,2654,0,90112
2019/10/17 2:32,0.251,0.251,99.497,0,0,0,1807306752,91795456,3353509888,3137310720,3112,1694,0,0
