,0.651239819,,,,,,1790375482,,,,6453.343891,33722.50679,,95759.18373
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 1:37,0.5,0.25,98.75,0.5,0,0,1796001792,91791360,3348824064,3153305600,5518,6769,0,81920
2019/10/17 1:37,0.251,0.251,99.499,0,0,0,1795973120,91791360,3348828160,3153330176,3329,1979,0,0
2019/10/17 1:37,0.5,0.25,99.25,0,0,0,1795973120,91791360,3348828160,3153330176,3657,1853,0,0
2019/10/17 1:37,0.501,0.251,99.248,0,0,0,1795973120,91791360,3348828160,3153330176,4084,2422,0,16384
2019/10/17 1:37,0.501,0.251,99.248,0,0,0,1795973120,91791360,3348828160,3153330176,3113,1761,0,0
2019/10/17 1:37,0.251,0.251,98.997,0.501,0,0,1795973120,91791360,3348828160,3153330176,4236,2745,0,65536
2019/10/17 1:37,0.752,0.251,98.997,0,0,0,1795969024,91791360,3348832256,3153330176,25772,13674,0,221184
2019/10/17 1:37,0.5,0.5,99,0,0,0,1795960832,91791360,3348840448,3153330176,3718,1852,0,8192
2019/10/17 1:37,3.75,0.5,95.25,0.25,0,0.25,1796276224,91791360,3348844544,3153010688,34048,672332,0,172032
2019/10/17 1:37,0.251,0.251,99.499,0,0,0,1796116480,91791360,3348860928,3153154048,2033,2373,0,0
2019/10/17 1:37,0.75,0.25,99,0,0,0,1796116480,91791360,3348860928,3153154048,4436,2515,0,0
2019/10/17 1:37,0.251,0.251,99.246,0.251,0,0,1796243456,91791360,3348860928,3153027072,3646,3313,0,73728
2019/10/17 1:37,0.503,0.251,99.246,0,0,0,1796116480,91791360,3348860928,3153154048,8113,4471,0,40960
2019/10/17 1:37,0.501,0.251,99.248,0,0,0,1796141056,91791360,3348869120,3153121280,4744,3523,0,106496
2019/10/17 1:37,0.501,0.251,99.248,0,0,0,1796141056,91791360,3348869120,3153121280,4906,2976,0,0
2019/10/17 1:37,0.752,0.251,98.997,0,0,0,1796136960,91791360,3348873216,3153121280,3302,1745,0,0
2019/10/17 1:37,0.251,0.251,99.497,0,0,0,1796292608,91791360,3348877312,3152961536,5060,8971,0,0
2019/10/17 1:37,0.5,0.25,98.75,0.5,0,0,1796259840,91791360,3348877312,3152994304,3657,1853,0,49152
2019/10/17 1:37,0.252,0,99.748,0,0,0,1796243456,91791360,3348877312,3153010688,3376,2596,0,24576
2019/10/17 1:37,0.501,0.251,99.248,0,0,0,1796337664,91791360,3348877312,3152916480,3113,1718,0,0
2019/10/17 1:38,1.256,0.251,98.492,0,0,0,1796210688,91791360,3348877312,3153043456,7739,4487,0,90112
2019/10/17 1:38,0.5,0.25,99.25,0,0,0,1796243456,91791360,3348885504,3153002496,5138,2865,0,32768
