,0.595046358,,,,,,1782872023,,,,,25544.74834,,114109.5564
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 1:02,0.251,0.251,99.497,0,0,0,1799503872,91787264,3345104896,3153526784,3113,1745,0,0
2019/10/17 1:02,0.5,0.25,99.25,0,0,0,1799503872,91787264,3345104896,3153526784,4200,2114,0,40960
2019/10/17 1:02,0.251,0.251,99.499,0,0,0,1799503872,91787264,3345104896,3153526784,2833,2445,0,0
2019/10/17 1:02,0.252,0,98.741,1.008,0,0,1799487488,91787264,3345104896,3153543168,4087,2575,0,65536
2019/10/17 1:02,0.5,0.25,99.25,0,0,0,1799487488,91787264,3345104896,3153543168,4464,2502,0,0
2019/10/17 1:02,0.251,0.251,99.497,0,0,0,1799487488,91787264,3345104896,3153543168,2701,1703,0,0
2019/10/17 1:02,0.251,0.251,99.499,0,0,0,1799487488,91787264,3345104896,3153543168,3113,1745,0,106496
2019/10/17 1:02,0.754,0.251,98.995,0,0,0,1799483392,91787264,3345108992,3153543168,28014,15847,0,229376
2019/10/17 1:02,0.251,0.251,98.747,0.501,0,0.251,1799438336,91787264,3345121280,3153575936,3306,1810,0,106496
2019/10/17 1:02,5.514,1.003,93.233,0.251,0,0,1799766016,91787264,3345121280,3153248256,26846,666528,0,172032
2019/10/17 1:02,0.503,0.251,99.246,0,0,0,1799761920,91787264,3345141760,3153231872,6876,12283,0,0
2019/10/17 1:02,0,0,100,0,0,0,1799761920,91787264,3345141760,3153231872,1490,962,0,16384
2019/10/17 1:02,0.501,0.251,99.248,0,0,0,1799761920,91787264,3345141760,3153231872,4502,2773,0,0
2019/10/17 1:02,0.501,0.251,98.997,0.251,0,0,1799761920,91787264,3345141760,3153231872,6478,4672,0,73728
2019/10/17 1:02,1.256,0.251,98.492,0,0,0,1799770112,91787264,3345149952,3153215488,7149,4625,0,24576
2019/10/17 1:02,0.251,0.251,99.499,0,0,0,1799786496,91787264,3345149952,3153199104,3675,2195,0,0
2019/10/17 1:02,0.501,0.251,99.248,0,0,0,1799786496,91787264,3345149952,3153199104,5462,3058,0,0
2019/10/17 1:02,0.251,0.251,99.499,0,0,0,1799786496,91787264,3345149952,3153199104,2569,1637,0,0
2019/10/17 1:02,0.501,0.251,99.248,0,0,0,1799786496,91787264,3345149952,3153199104,5065,8972,0,0
