2019-09-03 12:04:21 INFO  DAGScheduler:54 - ShuffleMapStage 96 (treeAggregate at RDDLossFunction.scala:61) finished in 26.597 s
2019-09-03 12:04:21 INFO  DAGScheduler:54 - ResultStage 97 (treeAggregate at RDDLossFunction.scala:61) finished in 0.070 s
2019-09-03 12:04:47 INFO  DAGScheduler:54 - ShuffleMapStage 98 (treeAggregate at RDDLossFunction.scala:61) finished in 26.286 s
2019-09-03 12:04:47 INFO  DAGScheduler:54 - ResultStage 99 (treeAggregate at RDDLossFunction.scala:61) finished in 0.062 s
2019-09-03 12:04:48 INFO  DAGScheduler:54 - ResultStage 100 (show at SparkBDCA.scala:243) finished in 0.293 s
2019-09-03 12:07:20 INFO  DAGScheduler:54 - ShuffleMapStage 101 (map at MulticlassMetrics.scala:45) finished in 151.892 s
2019-09-03 12:07:20 INFO  DAGScheduler:54 - ResultStage 102 (collectAsMap at MulticlassMetrics.scala:48) finished in 0.109 s
2019-09-03 12:09:52 INFO  DAGScheduler:54 - ShuffleMapStage 103 (countByValue at MulticlassMetrics.scala:42) finished in 151.599 s
2019-09-03 12:09:52 INFO  DAGScheduler:54 - ResultStage 104 (countByValue at MulticlassMetrics.scala:42) finished in 0.090 s
2019-09-03 12:12:25 INFO  DAGScheduler:54 - ShuffleMapStage 105 (countByValue at MulticlassMetrics.scala:42) finished in 153.149 s
2019-09-03 12:12:25 INFO  DAGScheduler:54 - ResultStage 106 (countByValue at MulticlassMetrics.scala:42) finished in 0.097 s
2019-09-03 12:14:59 INFO  DAGScheduler:54 - ShuffleMapStage 107 (map at MulticlassMetrics.scala:45) finished in 153.215 s
2019-09-03 12:14:59 INFO  DAGScheduler:54 - ResultStage 108 (collectAsMap at MulticlassMetrics.scala:48) finished in 0.090 s
2019-09-03 12:17:33 INFO  DAGScheduler:54 - ShuffleMapStage 109 (map at MulticlassMetrics.scala:50) finished in 154.470 s
2019-09-03 12:17:33 INFO  DAGScheduler:54 - ResultStage 110 (collectAsMap at MulticlassMetrics.scala:53) finished in 0.083 s
2019-09-03 12:20:10 INFO  DAGScheduler:54 - ShuffleMapStage 111 (countByValue at MulticlassMetrics.scala:42) finished in 156.361 s
2019-09-03 12:20:10 INFO  DAGScheduler:54 - ResultStage 112 (countByValue at MulticlassMetrics.scala:42) finished in 0.086 s
2019-09-03 12:22:41 INFO  DAGScheduler:54 - ShuffleMapStage 113 (map at MulticlassMetrics.scala:45) finished in 150.705 s
2019-09-03 12:22:41 INFO  DAGScheduler:54 - ResultStage 114 (collectAsMap at MulticlassMetrics.scala:48) finished in 0.094 s
2019-09-03 12:25:15 INFO  DAGScheduler:54 - ShuffleMapStage 115 (map at MulticlassMetrics.scala:50) finished in 154.699 s
2019-09-03 12:25:15 INFO  DAGScheduler:54 - ResultStage 116 (collectAsMap at MulticlassMetrics.scala:53) finished in 0.096 s
2019-09-03 12:27:49 INFO  DAGScheduler:54 - ShuffleMapStage 117 (countByValue at MulticlassMetrics.scala:42) finished in 153.135 s
2019-09-03 12:27:49 INFO  DAGScheduler:54 - ResultStage 118 (countByValue at MulticlassMetrics.scala:42) finished in 0.090 s
2019-09-03 12:30:20 INFO  DAGScheduler:54 - ShuffleMapStage 119 (map at MulticlassMetrics.scala:45) finished in 151.358 s
2019-09-03 12:30:20 INFO  DAGScheduler:54 - ResultStage 120 (collectAsMap at MulticlassMetrics.scala:48) finished in 0.132 s
